,Open,Date,Close,Subjectivity,Polarity,Compound,Negative,Neutral,Positive,label
0,17.57,04-01-2010,18.030001000000002,0.39284511784511783,0.026325757575757575,0.9349,0.01,0.898,0.091,0
1,17.780001000000006,05-01-2010,17.85,0.34868686868686866,0.057590187590187594,0.8074,0.076,0.806,0.118,0
2,17.9,06-01-2010,17.99,0.32345679012345674,0.08302469135802469,0.9756,0.018,0.896,0.086,0
3,17.389999,07-01-2010,17.57,0.28124666999667,0.06351273726273726,0.9896,0.038,0.861,0.101,0
4,17.559998999999998,08-01-2010,17.4,0.3681818181818181,-0.012045454545454548,0.8251,0.075,0.834,0.091,0
5,17.75,11-01-2010,17.370001000000002,0.35576388888888894,0.013680555555555562,0.25,0.037,0.911,0.052,0
6,17.15,12-01-2010,16.98,0.3673665223665224,0.05071789321789321,0.9296,0.013,0.938,0.048,0
7,17.18,13-01-2010,17.4,0.3497655122655123,0.04351100288600288,0.9824,0.013,0.905,0.082,0
8,17.469998999999998,14-01-2010,17.530001000000002,0.3180614973262032,0.04390374331550801,0.995,0.007,0.87,0.123,0
9,17.57,15-01-2010,17.34,0.29753561253561245,0.09391737891737892,0.9952,0.006,0.868,0.126,0
10,17.540001,19-01-2010,17.4,0.43833333333333335,0.04,0.9224,0.042,0.872,0.086,0
11,17.440001000000002,20-01-2010,17.049999,0.4084688346883468,0.030250677506775073,0.9909,0.046,0.828,0.126,0
12,16.91,21-01-2010,16.58,0.2663995510662178,0.06301122334455668,0.9936,0.031,0.847,0.122,0
13,16.549999,22-01-2010,16.280001000000002,0.24988455988455988,0.06336219336219336,0.9845,0.016,0.897,0.086,0
14,16.450001,25-01-2010,16.4,0.26965811965811964,-0.048504273504273505,-0.4939,0.057,0.92,0.023,0
15,16.280001000000002,26-01-2010,16.16,0.18247863247863247,0.020085470085470084,0.7964,0.0,0.952,0.048,0
16,15.45,27-01-2010,15.28,0.355145202020202,0.06017203282828283,0.9871,0.034,0.827,0.14,0
17,15.35,28-01-2010,15.05,0.25156319290465634,0.015879526977087954,0.9944,0.006,0.844,0.15,0
18,15.13,29-01-2010,14.63,0.40433455433455434,0.017155067155067157,0.9911,0.043,0.848,0.11,0
19,15.2,01-02-2010,15.65,0.29540404040404034,0.022186868686868685,0.9381,0.048,0.851,0.101,0
20,15.46,02-02-2010,15.61,0.36569865319865325,0.10440867003367005,0.7782,0.087,0.806,0.107,0
21,15.7,03-02-2010,15.74,0.3318181818181818,0.16022727272727275,0.8958,0.054,0.864,0.082,0
22,15.0,04-02-2010,14.41,0.2303833792470156,0.0502640036730946,0.9852,0.027,0.841,0.132,0
23,14.27,05-02-2010,14.28,0.2954168054168054,0.03820165945165945,0.7842,0.03,0.912,0.058,0
24,14.31,08-02-2010,14.47,0.20773809523809528,0.06523268398268399,0.9509,0.022,0.893,0.085,0
25,14.58,09-02-2010,14.81,0.24836363636363637,0.05490909090909092,0.8042,0.056,0.873,0.071,0
26,14.57,10-02-2010,14.65,0.42838311688311687,0.022005411255411264,0.9299,0.032,0.908,0.061,0
27,14.94,11-02-2010,15.1,0.4146969696969698,0.03690909090909091,0.9648,0.011,0.918,0.071,0
28,14.81,12-02-2010,15.17,0.4254883013811585,0.02080692125334982,0.1531,0.046,0.905,0.049,0
29,15.52,16-02-2010,15.54,0.2857531840140536,0.02598924022837066,0.8954,0.063,0.852,0.085,0
30,15.74,17-02-2010,15.92,0.4018234064785789,-0.0005564263322884082,0.967,0.024,0.896,0.081,0
31,15.75,18-02-2010,15.66,0.33025415444770284,0.05547409579667644,0.9608,0.05,0.845,0.105,0
32,15.42,19-02-2010,15.36,0.42933333333333334,0.0006666666666666598,0.9896,0.017,0.805,0.179,0
33,15.42,22-02-2010,15.56,0.352020202020202,-0.012608225108225114,0.9766,0.017,0.868,0.115,0
34,15.29,23-02-2010,15.15,0.3249621212121212,0.01907196969696969,0.9898,0.011,0.887,0.102,0
35,15.04,24-02-2010,15.2,0.35523877164502166,0.06797044101731602,0.9784,0.034,0.884,0.082,1
36,14.71,25-02-2010,14.85,0.2625476992143659,0.07010381593714927,0.9792,0.054,0.846,0.1,1
